Date,Time,Val1,Sensore Val1,Val2,Sensore Val2,Val3,Sensore Val3,Val4,Sensore Val4,Val5,Sensore O3,Temperature,Relative Humidity,Absolute Humidity
12/03/2004,0:00:00,1.7,1080,55,5.9,122,1254,97,1375,805,816,8.3,58.5,0.6438
12/03/2004,1:00:00,1.9,1044,53,6.4,133,1247,110,1378,829,832,7.7,59.7,0.6308
12/03/2004,2:00:00,1.4,988,40,4.1,82,1396,91,1304,718,692,7.1,61.8,0.6276
12/03/2004,3:00:00,0.8,889,21,1.9,-200,1680,-200,1187,574,512,7,62.3,0.6261
12/03/2004,4:00:00,-200,831,10,1.1,21,1893,32,1134,506,384,6.1,65.9,0.6248
12/03/2004,5:00:00,0.6,847,7,1,30,1895,44,1155,501,394,6.3,65,0.6233
12/03/2004,6:00:00,0.8,927,17,1.8,56,1685,71,1223,571,487,6.8,62.9,0.6234
12/03/2004,7:00:00,1.4,1091,33,4.4,109,1387,104,1361,730,748,6.4,65.1,0.6316
12/03/2004,8:00:00,4.4,1587,202,17.9,307,897,141,1900,1236,1400,7.3,63.1,0.6499
12/03/2004,9:00:00,-200,1545,-200,22.1,-200,767,-200,2058,1353,1588,9.2,56.2,0.6561
12/03/2004,10:00:00,3.1,1350,208,14,187,912,122,1712,1118,1237,13.2,41.7,632
12/03/2004,11:00:00,2.7,1263,166,11.6,216,969,143,1598,1037,1167,14.3,38.4,0.6243
12/03/2004,12:00:00,2.1,1206,114,10.2,143,1035,113,1537,986,959,15,36.5,0.6195
12/03/2004,13:00:00,2.5,1252,140,11,160,1008,116,1593,1016,983,16.1,34.5,0.6262
12/03/2004,14:00:00,2.7,1287,169,12.8,163,949,123,1660,1078,1061,16.3,35.7,656
12/03/2004,15:00:00,2.9,1353,185,14.2,190,922,126,1740,1122,1139,15.8,37,661
12/03/2004,16:00:00,2.8,1309,165,12.7,178,954,120,1657,1073,1112,15.9,37.2,0.6657
12/03/2004,17:00:00,2.4,1274,133,11.7,150,1006,119,1610,1041,994,16.9,34.3,0.6549
12/03/2004,18:00:00,3.9,1510,233,19.3,206,812,149,1910,1277,1410,15.1,39.6,0.6766
12/03/2004,19:00:00,3.7,1525,242,18.2,202,821,145,1847,1246,1448,14.4,43.4,0.7084
12/03/2004,20:00:00,6.6,1843,488,32.6,340,624,170,2390,1610,1887,12.9,50.5,0.7478
12/03/2004,21:00:00,4.4,1598,333,20.1,274,752,149,1941,1299,1627,12.1,53.3,0.7536
12/03/2004,22:00:00,3.5,1484,215,14.3,253,839,139,1723,1127,1491,11,59.1,774
12/03/2004,23:00:00,5.4,1677,367,21.8,300,741,134,2062,1346,1657,9.7,64.6,0.7771
13/03/2004,0:00:00,2.7,1280,122,9.6,193,963,113,1544,964,1285,9.5,64.1,0.7597
13/03/2004,1:00:00,1.9,1196,67,7.4,139,1071,97,1463,873,1144,9.1,63.9,0.7423
13/03/2004,2:00:00,1.6,1184,43,5.4,83,1176,82,1365,782,1043,8.8,63.9,0.7256
13/03/2004,3:00:00,1.7,1172,46,5.4,-200,1179,-200,1380,783,996,7.8,67.5,0.7173
13/03/2004,4:00:00,-200,1147,56,6.2,109,1132,83,1412,821,992,7,71.1,0.7158
13/03/2004,5:00:00,1,978,30,2.6,62,1420,65,1274,625,819,8.3,63.6,0.6982
13/03/2004,6:00:00,1.2,1100,27,2.9,53,1406,60,1268,646,835,7.2,67.5,0.6887
13/03/2004,7:00:00,1.5,1112,47,5.1,139,1228,77,1409,770,940,6.3,71.9,0.6932
13/03/2004,8:00:00,2.7,1336,132,11.8,256,935,96,1678,1043,1192,6.5,71.6,0.6945
13/03/2004,9:00:00,3.7,1408,239,15.1,295,830,119,1777,1153,1411,9.6,59.7,0.7124
13/03/2004,10:00:00,3.2,1447,160,12.9,250,869,126,1667,1081,1465,12.4,51.2,0.7335
13/03/2004,11:00:00,4.1,1542,283,16.1,296,808,158,1780,1184,1583,15.6,42.2,0.7451
13/03/2004,12:00:00,3.6,1451,210,14,239,875,161,1679,1117,1387,18.4,33.8,709
13/03/2004,13:00:00,2.8,1328,154,12.3,153,987,124,1600,1059,1101,19.4,31.3,695
13/03/2004,14:00:00,2,1207,112,8.6,118,1088,102,1488,924,850,18,34.8,0.7127
13/03/2004,15:00:00,2,1240,108,9.2,119,1049,116,1532,947,947,18.4,33.6,0.7042
13/03/2004,16:00:00,2.5,1306,111,10.2,138,1004,124,1554,987,1078,17.6,35.1,0.7012
13/03/2004,17:00:00,2.3,1326,97,10.6,148,976,125,1602,1000,1084,16.7,37.8,0.7117
13/03/2004,18:00:00,3.2,1473,191,15.5,227,831,148,1779,1163,1395,16.1,41,0.7451
13/03/2004,19:00:00,4.2,1609,258,19.6,277,758,165,1922,1286,1612,15.8,42.4,0.7569
13/03/2004,20:00:00,4.2,1611,284,19.2,279,754,161,1915,1274,1697,15.7,44.1,0.7786
13/03/2004,21:00:00,4.2,1621,269,18.3,283,762,159,1860,1247,1886,15.3,46.8,0.8091
13/03/2004,22:00:00,3.1,1444,180,13.1,214,844,143,1748,1089,1624,14.6,48.6,806
13/03/2004,23:00:00,2.6,1418,116,10.9,172,892,130,1603,1010,1536,14.7,49.3,0.8193
14/03/2004,0:00:00,2.9,1534,93,11,190,889,129,1611,1013,1535,13.9,53.6,0.8498
14/03/2004,1:00:00,2.8,1484,131,11.9,174,880,119,1624,1045,1530,14.6,51.5,0.8536
14/03/2004,2:00:00,2.5,1367,92,8.6,128,953,104,1543,925,1337,12.5,58.9,0.8537
14/03/2004,3:00:00,2.4,1344,132,9.7,-200,921,-200,1620,968,1278,11.6,63.4,0.8674
14/03/2004,4:00:00,-200,1130,56,5.2,70,1130,82,1452,773,1051,12.1,61.1,0.8603
14/03/2004,5:00:00,1.2,1062,32,3.7,53,1272,70,1377,691,929,11.5,63.1,0.8533
14/03/2004,6:00:00,1,1076,29,2.5,44,1395,63,1333,618,872,11.6,62.2,0.8473
14/03/2004,7:00:00,0.9,1028,27,2.4,74,1384,67,1340,615,853,10.4,67.6,853
14/03/2004,8:00:00,1.4,1155,36,4.2,101,1225,84,1414,722,959,11.6,62.7,853
14/03/2004,9:00:00,1.6,1235,57,6.4,118,1055,83,1527,828,1093,12.4,60,0.8627
14/03/2004,10:00:00,2.2,1332,129,8.6,144,952,98,1614,923,1225,14.5,53.1,0.8728
14/03/2004,11:00:00,2.8,1445,148,10.9,176,878,114,1696,1009,1355,16.9,46.1,0.8789
14/03/2004,12:00:00,2.8,1416,145,10.7,161,907,119,1677,1002,1262,19.3,38.3,0.8474
14/03/2004,13:00:00,2,1281,93,7.5,113,1084,104,1525,880,980,21.2,31.4,0.7812
14/03/2004,14:00:00,1.8,1207,84,7.5,103,1104,102,1490,879,872,21.4,30.2,0.7616
14/03/2004,15:00:00,1.9,1258,99,8.2,112,1081,107,1511,906,900,21.9,29,0.7525
14/03/2004,16:00:00,3,1458,150,11.9,170,974,129,1646,1045,1099,22.2,28.4,0.7516
14/03/2004,17:00:00,2.9,1438,156,12,180,943,128,1668,1051,1206,21.3,30.8,0.7696
14/03/2004,18:00:00,2.5,1478,122,12.2,160,929,121,1671,1055,1262,19.7,36.7,0.8307
14/03/2004,19:00:00,4.6,1808,262,20.6,261,753,157,1993,1312,1698,18.4,41.7,0.8732
14/03/2004,20:00:00,5.9,1898,341,23.1,325,681,173,2103,1381,1905,17.6,46.1,921
14/03/2004,21:00:00,3.4,1560,214,14.7,217,784,146,1818,1140,1648,16.7,49.6,932
14/03/2004,22:00:00,2.1,1324,100,9,146,924,121,1587,940,1423,16.3,51,0.9341
14/03/2004,23:00:00,2.2,1349,79,8.8,152,933,119,1617,933,1349,14.7,55.9,0.9314
15/03/2004,0:00:00,1.8,1239,66,7.4,104,985,99,1547,872,1250,14.8,54.7,0.9164
15/03/2004,1:00:00,1.8,1239,73,6.9,106,1010,93,1543,853,1174,14,57,0.9094
15/03/2004,2:00:00,1.8,1224,66,7,108,998,88,1566,855,1149,13.4,61.3,0.9361
15/03/2004,3:00:00,1.1,1078,44,4.4,-200,1128,-200,1487,734,1021,12.6,63.5,923
15/03/2004,4:00:00,-200,1078,44,4,66,1150,71,1468,711,1013,12.3,65.4,0.9351
15/03/2004,5:00:00,1,1075,39,3.9,88,1156,74,1464,703,1010,11.9,67.4,0.9375
15/03/2004,6:00:00,1.4,1157,51,6.4,138,1030,80,1584,830,1083,11.4,70.5,0.9475
15/03/2004,7:00:00,2.2,1314,107,9.7,228,897,89,1710,966,1235,11.3,70.2,0.9401
15/03/2004,8:00:00,5.5,1797,336,25.9,360,652,114,2323,1451,1680,12.4,63.9,917
15/03/2004,9:00:00,8.1,1961,618,36.7,478,537,149,2665,1701,2184,14.8,54.3,0.9076
15/03/2004,10:00:00,5.8,1771,438,26.6,394,622,157,2262,1470,1973,17.4,45.6,0.8993
15/03/2004,11:00:00,4.2,1564,334,20.1,319,710,155,2029,1300,1798,19.8,38.5,0.8801
15/03/2004,12:00:00,3.1,1430,221,14.1,201,831,134,1783,1120,1522,22,34.1,0.8904
15/03/2004,13:00:00,2.9,1417,207,14.9,171,830,119,1831,1146,1404,23.3,32.2,0.9096
15/03/2004,14:00:00,2.9,1400,191,15.4,159,838,111,1829,1162,1263,23.9,30,0.8757
15/03/2004,15:00:00,2.5,1317,185,12.1,153,926,104,1707,1053,1137,24.4,28.9,0.8736
15/03/2004,16:00:00,2.3,1318,141,11.5,143,950,99,1675,1033,1068,24.4,29.4,0.8848
15/03/2004,17:00:00,2.8,1445,214,14.8,156,857,110,1824,1141,1252,23.8,31.3,0.9137
15/03/2004,18:00:00,6.1,1917,471,32.1,314,631,162,2447,1601,1843,22.5,35.4,0.9547
15/03/2004,19:00:00,8,2040,685,39.2,404,542,187,2679,1754,2122,20.4,42.5,1.0086
15/03/2004,20:00:00,6.5,1895,538,31,320,565,165,2443,1573,1992,18.3,52.6,1.0945
15/03/2004,21:00:00,4.2,1595,319,19.9,256,678,145,2058,1294,1707,16.7,57.4,1.0786
15/03/2004,22:00:00,3.2,1439,224,15.3,193,764,125,1856,1159,1494,15.7,60.2,1.0654
15/03/2004,23:00:00,1.4,1142,67,6.9,89,1008,101,1547,852,1164,15.3,61.4,1058
16/03/2004,0:00:00,2.1,1304,155,11.1,127,852,103,1731,1019,1272,14.1,65.7,1.0494
16/03/2004,1:00:00,1.2,1074,49,5.4,79,1098,88,1483,784,1040,14.8,60.6,1.0148
16/03/2004,2:00:00,0.8,968,29,2.8,43,1320,61,1386,640,867,14.8,59.2,0.9879
16/03/2004,3:00:00,0.7,929,25,2.3,-200,1376,-200,1364,608,826,13.6,62.1,0.9636
16/03/2004,4:00:00,-200,941,25,2.6,59,1316,59,1373,626,840,12.3,66.2,945
16/03/2004,5:00:00,0.6,937,17,2,38,1412,52,1348,585,793,12.8,63.2,0.9283
16/03/2004,6:00:00,0.9,1017,27,3.5,82,1246,64,1418,681,870,11.2,68.5,0.9081
16/03/2004,7:00:00,1.3,1171,50,5.1,99,1162,70,1467,770,930,11,66.5,0.8705
16/03/2004,8:00:00,3.4,1541,218,16.2,263,770,97,1889,1185,1407,11.7,63.7,0.8719
16/03/2004,9:00:00,3.7,1539,285,19.7,229,698,95,2055,1287,1507,13.6,56.3,0.8743
16/03/2004,10:00:00,5.3,1735,437,25.1,396,628,150,2211,1431,1843,17.8,42.9,0.8672
16/03/2004,11:00:00,4.1,1571,327,20,314,730,162,1973,1297,1729,21.4,33.3,0.8417
16/03/2004,12:00:00,3.3,1452,283,18.3,217,776,154,1868,1250,1583,24.4,27.4,0.8231
16/03/2004,13:00:00,4,1579,366,22.3,252,724,161,1998,1359,1671,25.3,26.1,0.8264
16/03/2004,14:00:00,3.8,1466,318,20.4,263,773,161,1897,1309,1491,25.8,23.2,0.7589
16/03/2004,15:00:00,2.8,1280,228,14.6,180,893,128,1675,1136,1240,27,20.2,0.7094
16/03/2004,16:00:00,2.9,1407,201,16.6,184,905,129,1759,1197,1313,28.2,18.6,0.7014
16/03/2004,17:00:00,2.9,1389,199,15.8,190,898,133,1739,1173,1363,28,19.1,0.7098
16/03/2004,18:00:00,3.4,1447,237,17.8,184,859,139,1778,1235,1296,23.9,25.7,0.7519
16/03/2004,19:00:00,3.9,1551,261,19.1,181,800,137,1875,1271,1432,21.3,34.8,873
16/03/2004,20:00:00,3.2,1474,230,15.8,166,854,143,1776,1173,1432,20.4,36.7,0.8704
16/03/2004,21:00:00,5.1,1800,349,24.9,317,700,177,2106,1426,2034,19,41.3,0.9007
16/03/2004,22:00:00,2.6,1379,183,13.5,184,818,138,1710,1101,1602,17.9,45.9,0.9342
16/03/2004,23:00:00,1.7,1201,88,9.1,130,935,117,1560,943,1362,16.7,48.9,0.9226
17/03/2004,0:00:00,1.7,1205,85,8.6,132,922,107,1547,925,1314,15.5,52.9,0.9271
17/03/2004,1:00:00,1.2,1072,47,5.4,95,1066,90,1442,784,1114,15.5,51.9,0.9059
17/03/2004,2:00:00,0.9,998,34,4.1,70,1169,79,1383,714,992,14.1,55.6,891
17/03/2004,3:00:00,0.7,933,26,2.6,-200,1292,-200,1332,625,884,13.1,57.9,0.8666
17/03/2004,4:00:00,-200,883,17,1.9,54,1396,60,1303,577,808,12.7,57.9,0.8447
17/03/2004,5:00:00,0.5,869,11,1.6,28,1460,40,1268,554,667,11.8,58,0.8026
17/03/2004,6:00:00,0.5,891,18,1.9,46,1417,53,1289,576,733,11.9,57.4,0.7978
17/03/2004,7:00:00,1.6,1173,84,7.5,160,1038,84,1556,878,1052,9.9,65.2,0.7956
17/03/2004,8:00:00,4.1,1587,260,21.4,320,702,108,1999,1334,1534,11.1,60.2,0.7958
17/03/2004,9:00:00,6.6,1852,534,36.4,377,553,127,2535,1696,1931,14.1,50,802
17/03/2004,10:00:00,4.3,1522,368,21.3,280,703,134,2026,1331,1734,17.7,40.1,0.8048
17/03/2004,11:00:00,2.9,1438,200,15.4,221,819,135,1782,1161,1595,21.1,33.4,0.8265
17/03/2004,12:00:00,2.5,1393,145,12.5,210,905,142,1654,1067,1490,24.3,28.3,0.8471
17/03/2004,13:00:00,2.8,1452,188,15.1,204,861,153,1747,1152,1508,25.6,25.6,0.8254
17/03/2004,14:00:00,2.6,1389,152,13.7,161,887,123,1712,1108,1334,25.9,25.9,0.8503
17/03/2004,15:00:00,2,1207,103,10.4,135,1013,104,1520,994,1045,26.8,18.7,0.65
17/03/2004,16:00:00,2.9,1365,193,15.2,186,940,129,1679,1154,1221,29.3,15.8,0.6309
17/03/2004,17:00:00,2.5,1247,134,12.3,147,1032,114,1525,1060,1069,28.5,14.9,0.5708
17/03/2004,18:00:00,5,1557,386,27,299,793,158,1981,1478,1569,25.9,16,0.5237
17/03/2004,19:00:00,7.6,1973,577,38.4,411,617,194,2414,1737,2306,23.1,26.5,0.7403
17/03/2004,20:00:00,6.7,1975,523,35.1,347,597,182,2416,1667,2359,20.5,38.2,0.9133
17/03/2004,21:00:00,5.7,1795,472,27.2,336,653,180,2174,1485,2050,19.1,42.6,0.9294
17/03/2004,22:00:00,2.8,1444,206,15,202,770,136,1727,1150,1727,17.2,44.1,0.8558
17/03/2004,23:00:00,2.6,1488,216,15.7,178,731,127,1778,1171,1705,16,50.9,0.9206
18/03/2004,0:00:00,2.3,1371,159,13,154,796,116,1669,1083,1551,14.8,53.9,0.9024
18/03/2004,1:00:00,1.4,1161,70,8.1,92,947,107,1502,904,1240,14.3,55.4,0.8975
18/03/2004,2:00:00,1,1064,44,5.5,61,1057,88,1407,787,1115,14.8,52.1,0.8686
18/03/2004,3:00:00,0.7,970,42,3.6,-200,1196,-200,1351,687,969,13.9,53.9,0.8501
18/03/2004,4:00:00,-200,954,28,2.9,60,1260,78,1334,645,925,11.6,61.9,0.8442
18/03/2004,5:00:00,0.6,931,20,2.5,37,1293,57,1307,623,828,12,58.9,0.8233
18/03/2004,6:00:00,0.7,938,26,3,68,1251,71,1333,650,893,10.9,62.1,0.8113
18/03/2004,7:00:00,1.5,1166,78,7.7,139,1005,85,1551,885,1075,10.6,63.3,0.8067
18/03/2004,8:00:00,4.7,1643,319,23.3,339,667,124,2094,1384,1610,11.5,60,0.8117
18/03/2004,9:00:00,6.6,1934,506,35.8,421,541,151,2468,1682,2051,14.3,50.6,0.8186
18/03/2004,10:00:00,4.5,1617,-200,21.3,349,686,150,2010,1333,1819,17.8,40.5,821
18/03/2004,11:00:00,2.8,1473,-200,14.3,224,831,152,1752,1127,1568,20.8,34.4,0.8365
18/03/2004,12:00:00,2.2,1379,-200,12.5,171,899,139,1663,1068,1374,23.8,28.2,0.8219
18/03/2004,13:00:00,2.2,1385,-200,12.2,149,891,133,1648,1056,1268,24.2,28.7,0.8515
18/03/2004,14:00:00,2.3,1379,-200,13.1,137,901,126,1660,1087,1144,25.2,24.9,0.7829
18/03/2004,15:00:00,2.2,1322,-200,14.4,149,934,128,1639,1129,1109,27,17.8,0.6275
18/03/2004,16:00:00,2.8,1496,-200,16.8,172,822,169,1767,1205,1347,27.1,23.1,818
18/03/2004,17:00:00,2.7,1409,-200,14.5,166,873,149,1689,1131,1206,25.8,23.9,0.7832
18/03/2004,18:00:00,3.7,1513,-200,21.5,214,764,156,1957,1338,1397,23,26.8,0.7446
18/03/2004,19:00:00,5.1,1667,-200,26.4,280,683,168,2118,1464,1588,20.7,31.1,0.7523
18/03/2004,20:00:00,5.1,1667,-200,26,276,684,176,2051,1453,1569,18.6,36.2,0.7676
18/03/2004,21:00:00,3.2,1430,-200,14.1,178,814,135,1732,1121,1322,16,48.4,0.8768
18/03/2004,22:00:00,2.1,1333,-200,10.3,129,885,121,1621,989,1194,14.5,57.8,0.9456
18/03/2004,23:00:00,1.7,1262,-200,8.3,95,948,99,1545,911,1062,13.1,64.2,0.9606
19/03/2004,0:00:00,2,1287,-200,8.9,126,918,106,1606,936,1040,12,69.7,0.9735
19/03/2004,1:00:00,1.6,1134,-200,6.6,103,1021,96,1501,840,917,11.9,71.1,0.9915
19/03/2004,2:00:00,0.9,999,-200,3.6,48,1229,63,1380,688,594,12.5,69.3,1.0029
19/03/2004,3:00:00,0.7,961,-200,2.5,-200,1382,-200,1301,622,430,12.5,67.5,0.9768
19/03/2004,4:00:00,-200,934,-200,1.8,20,1440,32,1280,569,397,12.3,67.7,0.9665
19/03/2004,5:00:00,0.5,913,-200,1.3,18,1620,28,1260,525,370,12.5,66.8,962
19/03/2004,6:00:00,0.7,969,-200,2.3,56,1373,61,1324,607,438,12.3,66.3,0.9487
19/03/2004,7:00:00,1.5,1182,-200,6.7,115,1054,99,1539,845,704,12.4,64.9,0.9332
19/03/2004,8:00:00,4.8,1740,-200,22.8,320,671,157,2144,1372,1476,13,61.6,0.9209
19/03/2004,9:00:00,6.2,1819,-200,31.3,357,575,166,2456,1582,1716,13.6,58.8,912
19/03/2004,10:00:00,4,1427,-200,19.2,253,701,149,1980,1275,1398,13.9,57.1,0.9032
19/03/2004,11:00:00,3.3,1390,-200,16.4,218,759,135,1879,1191,1268,14.5,54.4,0.8917
19/03/2004,12:00:00,2.8,1283,-200,14,192,813,127,1751,1117,1188,15.5,50.1,0.8744
19/03/2004,13:00:00,3,1304,-200,15.3,176,793,122,1801,1157,1171,16.1,47.6,0.8655
19/03/2004,14:00:00,3.3,1364,-200,16.7,198,771,135,1875,1202,1250,16.3,47.1,864
19/03/2004,15:00:00,3.5,1410,-200,19,212,724,139,1957,1268,1344,16.4,47.5,0.8791
19/03/2004,16:00:00,4,1476,-200,19.4,249,708,147,1955,1280,1378,16.1,50.2,0.9094
19/03/2004,17:00:00,4.6,1522,-200,20.9,270,690,158,2005,1320,1435,16,50.7,0.9142
19/03/2004,18:00:00,4.1,1442,-200,20.2,231,704,146,1952,1301,1372,15.8,50.3,0.8989
19/03/2004,19:00:00,4.5,1469,-200,21.7,251,677,144,1997,1344,1471,15.5,50.6,884
19/03/2004,20:00:00,3.9,1467,-200,19.8,210,698,138,1942,1292,1439,15.4,51.4,0.8956
19/03/2004,21:00:00,4,1421,-200,16.7,249,748,143,1854,1202,1429,15.2,53.1,0.9117
19/03/2004,22:00:00,2.2,1175,-200,9.1,143,904,116,1604,945,1081,14.7,57.6,0.9573
19/03/2004,23:00:00,2.1,1215,-200,8.3,127,948,109,1547,912,993,14.2,58.3,938
20/03/2004,0:00:00,1.7,1127,-200,5.8,104,1064,92,1447,802,837,13.8,57.9,0.9085
20/03/2004,1:00:00,1.6,1090,-200,5.2,86,1105,83,1429,773,761,13.9,55.9,0.8842
20/03/2004,2:00:00,1.3,1017,-200,4.1,74,1182,81,1382,718,650,13.9,55.6,0.8765
20/03/2004,3:00:00,1.3,997,-200,3.4,-200,1252,-200,1359,677,591,13.8,55.1,0.8666
20/03/2004,4:00:00,-200,945,-200,2.9,44,1308,55,1332,646,505,13.8,54.6,0.8574
20/03/2004,5:00:00,0.8,956,-200,3.1,42,1260,53,1351,661,518,13.6,55.1,856
20/03/2004,6:00:00,0.8,966,-200,2.5,63,1317,67,1342,622,571,13.6,59,0.9129
20/03/2004,7:00:00,1.1,1064,-200,4.3,115,1161,91,1461,728,842,13.5,58.4,896
20/03/2004,8:00:00,2.1,1300,-200,8.9,170,902,113,1623,935,1145,13.8,58,0.9083
20/03/2004,9:00:00,2.4,1348,-200,10.5,147,834,102,1689,998,1218,14.6,53.1,0.8765
20/03/2004,10:00:00,2.6,1425,-200,12.5,166,776,107,1764,1068,1341,15,52.3,0.8881
20/03/2004,11:00:00,2.8,1474,-200,12.3,195,768,113,1768,1061,1406,15.4,52.1,0.9046
20/03/2004,12:00:00,2.6,1490,-200,11.7,182,782,108,1757,1039,1422,16.3,50,0.9158
20/03/2004,13:00:00,2.6,1495,-200,11.7,168,809,105,1735,1040,1373,17.1,47.9,0.9281
20/03/2004,14:00:00,2.1,1376,-200,9.3,125,900,93,1636,953,1153,19,42.9,937
20/03/2004,15:00:00,1.7,1305,-200,7.6,95,980,87,1573,884,927,19.5,42.3,0.9476
20/03/2004,16:00:00,1.6,1283,-200,6.7,79,1036,76,1539,844,766,19.5,42.3,0.9493
20/03/2004,17:00:00,2.1,1392,-200,9.7,119,930,94,1649,967,941,19.1,43.8,0.9556
20/03/2004,18:00:00,2.3,1452,-200,12.4,142,856,110,1774,1063,1146,18.5,46.3,0.9744
20/03/2004,19:00:00,3.5,1633,-200,16.6,215,734,136,1919,1199,1417,17.4,51.6,1.0159
20/03/2004,20:00:00,3.9,1625,-200,16.4,229,733,139,1885,1191,1442,17.1,51.3,0.9914
20/03/2004,21:00:00,3.3,1535,-200,13.7,206,785,125,1820,1108,1323,16.4,53.8,0.9964
20/03/2004,22:00:00,2.3,1323,-200,9.9,147,864,111,1712,973,1125,16.2,55.4,1.0132
20/03/2004,23:00:00,2.1,1309,-200,8.9,122,905,97,1672,937,1036,15.9,57.7,1.0356
21/03/2004,0:00:00,2.8,1456,-200,10.6,175,835,107,1714,999,1202,15.7,58.6,1.0396
21/03/2004,1:00:00,2.1,1300,-200,7.4,133,941,90,1577,872,1054,15.1,60.9,1.0398
21/03/2004,2:00:00,1.6,1203,-200,6.2,89,1004,84,1526,823,903,15.6,56.6,0.9951
21/03/2004,3:00:00,1.6,1195,-200,6.5,-200,987,-200,1554,836,885,15.2,57.9,0.9941
21/03/2004,4:00:00,-200,1117,-200,5.8,85,1029,87,1539,802,818,15.4,57.8,1.0021
21/03/2004,5:00:00,1.1,1062,-200,4,55,1136,66,1461,711,700,14.9,60.6,1.0196
21/03/2004,6:00:00,0.7,947,-200,2.1,24,1300,36,1390,594,580,14.5,63,1.0316
21/03/2004,7:00:00,0.8,1065,-200,3.6,72,1143,62,1492,687,815,14.2,66.2,1063
21/03/2004,8:00:00,1.2,1155,-200,4.4,122,1062,91,1528,734,1035,14.5,65.3,1.0704
21/03/2004,9:00:00,1.4,1220,-200,5.4,111,996,89,1560,782,1067,15.3,62.1,1073
21/03/2004,10:00:00,1.7,1301,-200,7.1,123,914,93,1633,862,1114,16.3,59,1.0868
21/03/2004,11:00:00,1.8,1279,-200,7.3,106,911,81,1646,870,1000,18.9,49.6,1.07
21/03/2004,12:00:00,1.8,1267,-200,7.6,103,953,82,1617,883,906,19.4,46.1,1.0249
21/03/2004,13:00:00,1.9,1239,-200,6.8,102,981,80,1568,848,822,20.8,41.6,1.0091
21/03/2004,14:00:00,1.3,1128,-200,4.6,48,1144,48,1507,742,610,21.4,40.3,1.0126
21/03/2004,15:00:00,1.6,1243,-200,8.4,63,962,61,1669,916,657,21.2,39.3,0.9791
